from_site,to_site
970	2000
970	2846
970	3685
2000	970
2000	3682
2000	3685
2200	3126
2200	4057
2200	4063
2820	3662
2820	4324
2820	4335
2825	2827
2825	4030
2825	4051
2827	2825
2827	3180
2827	4051
2846	970
2846	3812
2846	4043
2846	4266
2846	4273
3001	3002
3001	3662
3001	4262
3001	4263
3001	4821
3002	3001
3002	3662
3002	4263
3002	4264
3002	4324
3002	4335
3002	4821
3120	3122
3120	4034
3120	4035
3120	4040
3122	3120
3122	3127
3122	3804
3122	4035
3126	2200
3126	3127
3126	3682
3127	3122
3127	3126
3127	3804
3127	4063
3180	2827
3180	4051
3180	4057
3662	2820
3662	3001
3662	3002
3662	4324
3662	4335
3682	2000
3682	3126
3682	3685
3685	970
3685	2000
3685	3682
3804	3122
3804	3127
3804	3812
3804	4040
3812	2846
3812	3804
3812	4040
3812	4043
3812	4272
3812	4273
4030	2825
4030	4032
4030	4051
4030	4321
4032	4030
4032	4034
4032	4051
4032	4321
4034	3120
4034	4032
4034	4035
4035	3120
4035	3122
4035	4034
4040	3120
4040	3804
4040	3812
4040	4043
4040	4272
4043	2846
4043	3812
4043	4040
4043	4273
4051	2825
4051	2827
4051	3180
4051	4030
4051	4032
4051	4057
4057	2200
4057	3180
4057	4051
4057	4063
4063	2200
4063	3127
4063	4057
4262	3001
4262	4263
4262	4266
4262	4812
4262	4821
4263	3001
4263	3002
4263	4262
4263	4264
4263	4270
4263	4812
4264	3002
4264	4263
4264	4270
4266	2846
4266	4262
4266	4812
4270	4263
4270	4264
4270	4272
4270	4812
4272	3812
4272	4040
4272	4270
4272	4273
4273	2846
4273	3812
4273	4043
4273	4272
4321	4030
4321	4032
4321	4335
4324	2820
4324	3002
4324	3662
4324	4335
4335	2820
4335	3002
4335	3662
4335	4321
4335	4324
4812	4262
4812	4263
4812	4266
4812	4270
4821	3001
4821	3002
4821	4262
