loss,mae,val_loss,val_mae
0.013326045125722885,0.07688329368829727,0.007617647759616375,0.05828471481800079
0.008722418919205666,0.06483667343854904,0.007393825799226761,0.05781889706850052
0.0085280267521739,0.0643424466252327,0.0071901725605130196,0.057182956486940384
0.008354091085493565,0.06363657861948013,0.007068043574690819,0.05666118115186691
0.008344581350684166,0.06363984942436218,0.0072562661953270435,0.05708726868033409
0.008296003565192223,0.06339036673307419,0.007079754024744034,0.05774004012346268
0.00823501218110323,0.06324031203985214,0.0069312527775764465,0.05670273303985596
0.00819708127528429,0.06303534656763077,0.007136687636375427,0.05788096785545349
0.00824145507067442,0.06321866065263748,0.006911891978234053,0.05671967193484306
0.008192199282348156,0.06295651942491531,0.007125495467334986,0.05807942524552345
0.00820129830390215,0.0631098747253418,0.00694132037460804,0.05685136467218399
0.008192022331058979,0.0629991814494133,0.006927336100488901,0.056721579283475876
0.008069653064012527,0.06257963925600052,0.00711187394335866,0.05706082656979561
0.008171290159225464,0.06306144595146179,0.007039795164018869,0.056552473455667496
0.008097169920802116,0.06286812573671341,0.007077139336615801,0.05660372972488403
0.008021002635359764,0.06249932199716568,0.007313713431358337,0.058082688599824905
0.007968373596668243,0.06235245242714882,0.006991288159042597,0.057765305042266846
0.007927674800157547,0.06211633235216141,0.007253516931086779,0.06069283187389374
0.007948699407279491,0.0624343641102314,0.006838033441454172,0.056496426463127136
0.00795905664563179,0.062140028923749924,0.006876729428768158,0.056488074362277985
0.0079476498067379,0.06217562407255173,0.006818841211497784,0.05584308132529259
0.007911556400358677,0.06208483502268791,0.00768054137006402,0.06155841052532196
0.007875881157815456,0.06196038797497749,0.007017945405095816,0.05684195086359978
0.007867049425840378,0.062027230858802795,0.00690668448805809,0.05597731098532677
0.007783674169331789,0.061476029455661774,0.007041794713586569,0.05625362694263458
0.007766085211187601,0.06166233494877815,0.00686652772128582,0.05626346543431282
0.007799162063747644,0.06161979213356972,0.006926094181835651,0.05702155828475952
0.00779066514223814,0.06164421886205673,0.007119462359696627,0.05895781144499779
0.007749871350824833,0.061620213091373444,0.006925680208951235,0.05709623917937279
0.0077285305596888065,0.06165160983800888,0.006739856209605932,0.055727675557136536
0.007662448100745678,0.06112121790647507,0.00739768473431468,0.05956660956144333
0.007685047574341297,0.061364464461803436,0.0067366077564656734,0.05592097342014313
0.007698375731706619,0.061282288283109665,0.0068706185556948185,0.05750210955739021
0.007623645942658186,0.060898613184690475,0.006950393319129944,0.05729341506958008
0.007682770490646362,0.06128108128905296,0.00673113577067852,0.056090373545885086
0.0076334248296916485,0.06111806631088257,0.0067680394276976585,0.05576349049806595
0.007598969154059887,0.061022330075502396,0.007204447872936726,0.05726897716522217
0.007521950174123049,0.06074168160557747,0.006827229168266058,0.05631604418158531
0.007512626703828573,0.060734741389751434,0.0066459896042943,0.0554666668176651
0.007513722404837608,0.06070680543780327,0.00725862430408597,0.05644484981894493
0.007556827738881111,0.06087082251906395,0.006899676751345396,0.055960994213819504
0.0074596162885427475,0.060460809618234634,0.007096676621586084,0.0574926920235157
0.007432491984218359,0.06045319512486458,0.00700010173022747,0.056430015712976456
0.007427236996591091,0.060395851731300354,0.007144942879676819,0.05861284211277962
0.007477083243429661,0.060535725206136703,0.006828768644481897,0.056299179792404175
0.007474916987121105,0.060578636825084686,0.007057628594338894,0.05598245933651924
0.007441164460033178,0.060439448803663254,0.007030147593468428,0.05611555650830269
0.007325222250074148,0.06005372479557991,0.006973001174628735,0.056766215711832047
0.007278913632035255,0.05996106564998627,0.0068471599370241165,0.05565851926803589
0.007311922963708639,0.05996059626340866,0.007616153918206692,0.057367660105228424
