loss,mae,val_loss,val_mae
0.01201983354985714,0.07521729171276093,0.007603703998029232,0.057990048080682755
0.009404817596077919,0.06750570237636566,0.007308256346732378,0.05890591815114021
0.009492895565927029,0.06773430109024048,0.0071936980821192265,0.057347990572452545
0.009024834260344505,0.06613430380821228,0.007146678399294615,0.05679178237915039
0.008933285251259804,0.06602463871240616,0.007383597083389759,0.058433156460523605
0.009110153652727604,0.06634581089019775,0.007561418693512678,0.061162713915109634
0.008858242072165012,0.06606750190258026,0.007072014734148979,0.05776875838637352
0.008866525255143642,0.06620128452777863,0.007136278320103884,0.059627894312143326
0.008804595097899437,0.06593991816043854,0.006959006655961275,0.056858088821172714
0.008593560196459293,0.0649300068616867,0.007023001555353403,0.05900609493255615
0.008788962848484516,0.06620120257139206,0.007100711576640606,0.061232853680849075
0.008659584447741508,0.06528933346271515,0.007022484205663204,0.057759154587984085
0.00848146341741085,0.06456258893013,0.007188878953456879,0.05699979513883591
0.00863906741142273,0.06542278081178665,0.007081686519086361,0.05820631980895996
0.008527697063982487,0.06514638662338257,0.00704078609123826,0.05668683722615242
0.008610496297478676,0.06551221013069153,0.007230961695313454,0.05715262144804001
0.008564732037484646,0.06526197493076324,0.007066812831908464,0.06119612231850624
0.008459520526230335,0.06464453786611557,0.007471359800547361,0.06070574000477791
0.008534460328519344,0.06535506993532181,0.006913269404321909,0.05750545859336853
0.008534996770322323,0.06551120430231094,0.00696532940492034,0.0590367428958416
0.008472747169435024,0.06520874053239822,0.00679962569847703,0.05688105896115303
0.008490507490932941,0.06519517302513123,0.006827076897025108,0.05599990114569664
0.008466575294733047,0.06545284390449524,0.006807215977460146,0.0574767030775547
0.008472969755530357,0.06512310355901718,0.0067481850273907185,0.056865859776735306
0.008463643491268158,0.06516138464212418,0.006745095830410719,0.055878568440675735
0.008378113619983196,0.06523149460554123,0.0069777206517755985,0.056667760014534
0.008410105481743813,0.06521689146757126,0.006775551941245794,0.05646767467260361
0.008360658772289753,0.06536674499511719,0.006946311332285404,0.057881105691194534
0.0082473149523139,0.06467730551958084,0.006954334210604429,0.058987848460674286
0.008370374329388142,0.06524612009525299,0.006705141626298428,0.056238800287246704
0.008282930590212345,0.06490357220172882,0.006800931412726641,0.057201091200113297
0.008352937176823616,0.06520523875951767,0.007155344355851412,0.05717228353023529
0.00834383349865675,0.0650930255651474,0.006659414619207382,0.056833185255527496
0.008298606611788273,0.06479578465223312,0.006643332540988922,0.05600960925221443
0.008322996087372303,0.06503979861736298,0.006766136270016432,0.059315092861652374
0.0082304198294878,0.06457024812698364,0.006636972073465586,0.05760061368346214
0.008269359357655048,0.06484881043434143,0.0068393670953810215,0.05601098760962486
0.008301343768835068,0.06498734652996063,0.006734380964189768,0.05703459680080414
0.008219053037464619,0.06476104259490967,0.006602096371352673,0.0561516247689724
0.008196099661290646,0.06466766446828842,0.006526602432131767,0.05580338463187218
0.008216483518481255,0.06458873301744461,0.006649589631706476,0.05754243582487106
0.008113599382340908,0.06452662497758865,0.006999138742685318,0.05938239023089409
0.008271820843219757,0.06526901572942734,0.006602578796446323,0.056556906551122665
0.008278390392661095,0.06512528657913208,0.006536287721246481,0.05555747449398041
0.008261810056865215,0.0649670735001564,0.00662397313863039,0.05629085376858711
0.008211212232708931,0.06455797702074051,0.006687863729894161,0.05600253492593765
0.008172105066478252,0.06486494839191437,0.0066810352727770805,0.05893435329198837
0.008300229907035828,0.06533350050449371,0.006755092181265354,0.0570361390709877
0.008215389214456081,0.06499022990465164,0.006814917083829641,0.057990334928035736
0.00816685613244772,0.06501239538192749,0.0070927878841757774,0.058593202382326126
